"year","TFR","TLB"
1960,5.76,61775
1961,5.41,59930
1962,5.21,58977
1963,5.16,59530
1964,4.97,58217
1965,4.66,55725
1966,4.46,54680
1967,3.91,50560
1968,3.53,47241
1969,3.22,44562
1970,3.07,45934
1971,3.02,47088
1972,3.04,49678
1973,2.79,48269
1974,2.35,43268
1975,2.07,39948
1976,2.11,42783
1977,1.82,38364
1978,1.79,39441
1979,1.79,40779
1980,1.82,41217
1981,1.78,42250
1982,1.74,42654
1983,1.61,40585
1984,1.62,41556
1985,1.61,42484
1986,1.43,38379
1987,1.62,43616
1988,1.96,52957
1989,1.75,47669
1990,1.83,51142
1991,1.73,49114
1992,1.72,49402
1993,1.74,50225
1994,1.71,49554
1995,1.67,48635
1996,1.66,48577
1997,1.61,47333
1998,1.48,43664
1999,1.47,43336
2000,1.6,46997
2001,1.41,41451
2002,1.37,40760
2003,1.27,37485
2004,1.26,37174
2005,1.26,37492
2006,1.28,38317
2007,1.29,39490
2008,1.28,39826
2009,1.22,39570
2010,1.15,37967
2011,1.2,39654
2012,1.29,42663
2013,1.19,39720
2014,1.25,42232
2015,1.24,42185
2016,1.2,41251
2017,1.16,39615
2018,1.14,39039
2019,1.14,39279
2020,1.1,38590
2021,1.12,38672
2022,1.04,35605
2023,0.97,33541
2024,0.97,33703
2025,0.87,30004
