"year","TLB"
1960,61775
1961,59930
1962,58977
1963,59530
1964,58217
1965,55725
1966,54680
1967,50560
1968,47241
1969,44562
1970,45934
1971,47088
1972,49678
1973,48269
1974,43268
1975,39948
1976,42783
1977,38364
1978,39441
1979,40779
1980,41217
1981,42250
1982,42654
1983,40585
1984,41556
1985,42484
1986,38379
1987,43616
1988,52957
1989,47669
1990,51142
1991,49114
1992,49402
1993,50225
1994,49554
1995,48635
1996,48577
1997,47333
1998,43664
1999,43336
2000,46997
2001,41451
2002,40760
2003,37485
2004,37174
2005,37492
2006,38317
2007,39490
2008,39826
2009,39570
2010,37967
2011,39654
2012,42663
