data_series,year,value
Total Live-Births (Number),1960,61775
Total Live-Births (Number),1961,59930
Total Live-Births (Number),1962,58977
Total Live-Births (Number),1963,59530
Total Live-Births (Number),1964,58217
Total Live-Births (Number),1965,55725
Total Live-Births (Number),1966,54680
Total Live-Births (Number),1967,50560
Total Live-Births (Number),1968,47241
Total Live-Births (Number),1969,44562
Total Live-Births (Number),1970,45934
Total Live-Births (Number),1971,47088
Total Live-Births (Number),1972,49678
Total Live-Births (Number),1973,48269
Total Live-Births (Number),1974,43268
Total Live-Births (Number),1975,39948
Total Live-Births (Number),1976,42783
Total Live-Births (Number),1977,38364
Total Live-Births (Number),1978,39441
Total Live-Births (Number),1979,40779
Total Live-Births (Number),1980,41217
Total Live-Births (Number),1981,42250
Total Live-Births (Number),1982,42654
Total Live-Births (Number),1983,40585
Total Live-Births (Number),1984,41556
Total Live-Births (Number),1985,42484
Total Live-Births (Number),1986,38379
Total Live-Births (Number),1987,43616
Total Live-Births (Number),1988,52957
Total Live-Births (Number),1989,47669
Total Live-Births (Number),1990,51142
Total Live-Births (Number),1991,49114
Total Live-Births (Number),1992,49402
Total Live-Births (Number),1993,50225
Total Live-Births (Number),1994,49554
Total Live-Births (Number),1995,48635
Total Live-Births (Number),1996,48577
Total Live-Births (Number),1997,47333
Total Live-Births (Number),1998,43664
Total Live-Births (Number),1999,43336
Total Live-Births (Number),2000,46997
Total Live-Births (Number),2001,41451
Total Live-Births (Number),2002,40760
Total Live-Births (Number),2003,37485
Total Live-Births (Number),2004,37174
Total Live-Births (Number),2005,37492
Total Live-Births (Number),2006,38317
Total Live-Births (Number),2007,39490
Total Live-Births (Number),2008,39826
Total Live-Births (Number),2009,39570
Total Live-Births (Number),2010,37967
Total Live-Births (Number),2011,39654
Total Live-Births (Number),2012,42663
