data_series,year,TFR
Total Fertility Rate (TFR) (Per Female),1960,5.76
Total Fertility Rate (TFR) (Per Female),1961,5.41
Total Fertility Rate (TFR) (Per Female),1962,5.21
Total Fertility Rate (TFR) (Per Female),1963,5.16
Total Fertility Rate (TFR) (Per Female),1964,4.97
Total Fertility Rate (TFR) (Per Female),1965,4.66
Total Fertility Rate (TFR) (Per Female),1966,4.46
Total Fertility Rate (TFR) (Per Female),1967,3.91
Total Fertility Rate (TFR) (Per Female),1968,3.53
Total Fertility Rate (TFR) (Per Female),1969,3.22
Total Fertility Rate (TFR) (Per Female),1970,3.07
Total Fertility Rate (TFR) (Per Female),1971,3.02
Total Fertility Rate (TFR) (Per Female),1972,3.04
Total Fertility Rate (TFR) (Per Female),1973,2.79
Total Fertility Rate (TFR) (Per Female),1974,2.35
Total Fertility Rate (TFR) (Per Female),1975,2.07
Total Fertility Rate (TFR) (Per Female),1976,2.11
Total Fertility Rate (TFR) (Per Female),1977,1.82
Total Fertility Rate (TFR) (Per Female),1978,1.79
Total Fertility Rate (TFR) (Per Female),1979,1.79
Total Fertility Rate (TFR) (Per Female),1980,1.82
Total Fertility Rate (TFR) (Per Female),1981,1.78
Total Fertility Rate (TFR) (Per Female),1982,1.74
Total Fertility Rate (TFR) (Per Female),1983,1.61
Total Fertility Rate (TFR) (Per Female),1984,1.62
Total Fertility Rate (TFR) (Per Female),1985,1.61
Total Fertility Rate (TFR) (Per Female),1986,1.43
Total Fertility Rate (TFR) (Per Female),1987,1.62
Total Fertility Rate (TFR) (Per Female),1988,1.96
Total Fertility Rate (TFR) (Per Female),1989,1.75
Total Fertility Rate (TFR) (Per Female),1990,1.83
Total Fertility Rate (TFR) (Per Female),1991,1.73
Total Fertility Rate (TFR) (Per Female),1992,1.72
Total Fertility Rate (TFR) (Per Female),1993,1.74
Total Fertility Rate (TFR) (Per Female),1994,1.71
Total Fertility Rate (TFR) (Per Female),1995,1.67
Total Fertility Rate (TFR) (Per Female),1996,1.66
Total Fertility Rate (TFR) (Per Female),1997,1.61
Total Fertility Rate (TFR) (Per Female),1998,1.48
Total Fertility Rate (TFR) (Per Female),1999,1.47
Total Fertility Rate (TFR) (Per Female),2000,1.6
Total Fertility Rate (TFR) (Per Female),2001,1.41
Total Fertility Rate (TFR) (Per Female),2002,1.37
Total Fertility Rate (TFR) (Per Female),2003,1.27
Total Fertility Rate (TFR) (Per Female),2004,1.26
Total Fertility Rate (TFR) (Per Female),2005,1.26
Total Fertility Rate (TFR) (Per Female),2006,1.28
Total Fertility Rate (TFR) (Per Female),2007,1.29
Total Fertility Rate (TFR) (Per Female),2008,1.28
Total Fertility Rate (TFR) (Per Female),2009,1.22
Total Fertility Rate (TFR) (Per Female),2010,1.15
Total Fertility Rate (TFR) (Per Female),2011,1.2
Total Fertility Rate (TFR) (Per Female),2012,1.29
