year,actual,predicted,error,absolute_error,percentage_error,absolute_percentage_error,Zodiac
2013,1.19,1.310393561202999,-0.12039356120299916,0.12039356120299916,-10.117105983445306,10.117105983445306,Snake
2014,1.25,1.3497470406258738,-0.0997470406258738,0.0997470406258738,-7.9797632500699045,7.9797632500699045,Horse
2015,1.24,1.3593897921705143,-0.11938979217051426,0.11938979217051426,-9.628209046009214,9.628209046009214,Goat
2016,1.2,1.3651573846925624,-0.16515738469256247,0.16515738469256247,-13.763115391046874,13.763115391046874,Monkey
2017,1.16,1.3638169867263672,-0.20381698672636728,0.20381698672636728,-17.570429890204075,17.570429890204075,Rooster
2018,1.14,1.3651479247648288,-0.22514792476482892,0.22514792476482892,-19.7498179618271,19.7498179618271,Dog
2019,1.14,1.3725049196939922,-0.23250491969399234,0.23250491969399234,-20.395168394209858,20.395168394209858,Pig
2020,1.1,1.395790224505998,-0.295790224505998,0.295790224505998,-26.89002040963618,26.89002040963618,Rat
2021,1.12,1.4221590137013436,-0.30215901370134346,0.30215901370134346,-26.97848336619138,26.97848336619138,Ox
2022,1.04,1.4092562035957785,-0.3692562035957785,0.3692562035957785,-35.505404191901775,35.505404191901775,Tiger
2023,0.97,1.3827958391162127,-0.41279583911621276,0.41279583911621276,-42.55627207383637,42.55627207383637,Rabbit
2024,0.97,1.3784515527412688,-0.4084515527412689,0.4084515527412689,-42.10840749909989,42.10840749909989,Dragon
2025,0.87,1.3676217174425043,-0.4976217174425043,0.4976217174425043,-57.19789855660969,57.19789855660969,Snake
