year,actual,predicted,error,absolute_error,percentage_error,absolute_percentage_error,Zodiac
2013,1.19,1.0714984708316284,0.11850152916837153,0.11850152916837153,9.958111694821138,9.958111694821138,Snake
2014,1.25,1.1287338755819618,0.12126612441803819,0.12126612441803819,9.701289953443055,9.701289953443055,Horse
2015,1.24,1.131621312917032,0.10837868708296794,0.10837868708296794,8.740216700239351,8.740216700239351,Goat
2016,1.2,1.2061976607749343,-0.006197660774934333,0.006197660774934333,-0.5164717312445277,0.5164717312445277,Monkey
2017,1.16,1.2657083868402297,-0.10570838684022976,0.10570838684022976,-9.112791968985325,9.112791968985325,Rooster
2018,1.14,1.3073703935637333,-0.1673703935637334,0.1673703935637334,-14.68161347050293,14.68161347050293,Dog
2019,1.14,1.3038446574802471,-0.16384465748024724,0.16384465748024724,-14.372338375460286,14.372338375460286,Pig
2020,1.1,1.378426424271758,-0.278426424271758,0.278426424271758,-25.311493115614365,25.311493115614365,Rat
2021,1.12,1.3630212539072908,-0.24302125390729068,0.24302125390729068,-21.69832624172238,21.69832624172238,Ox
2022,1.04,1.2311435757665974,-0.19114357576659735,0.19114357576659735,-18.379189977557438,18.379189977557438,Tiger
2023,0.97,1.2838632649310824,-0.3138632649310824,0.3138632649310824,-32.35703762176107,32.35703762176107,Rabbit
2024,0.97,1.48996896264909,-0.51996896264909,0.51996896264909,-53.605047695782474,53.605047695782474,Dragon
2025,0.87,1.3100117676104968,-0.44001176761049676,0.44001176761049676,-50.576065242585834,50.576065242585834,Snake
