"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"2013",42667.3178107533,39043.9890322364,46290.6465892702,37125.9146390262,48208.7209824803
"2014",42671.320693285,37571.6212902637,47771.0200963063,34872.0034979175,50470.6378886525
"2015",42675.0316175192,36457.6644419545,48892.3987930839,33166.389070163,52183.6741648754
"2016",42678.4718780221,35530.5161204574,49826.4276355869,31746.616910517,53610.3268455272
"2017",42681.661216198,34723.221213099,50640.1012192971,30510.2775601933,54853.0448722028
"2018",42684.6179335722,34001.204839015,51368.0310281293,29404.4836137462,55964.7522533981
"2019",42687.358996811,33343.7967167963,52030.9212768258,28397.6136221458,56977.1043714762
"2020",42689.9001350832,32737.4509886692,52642.3492814973,27468.9426571462,57910.8576130202
"2021",42692.2559303188,32172.7105635201,53211.8012971174,26603.9996267974,58780.5122338401
"2022",42694.4399008852,31642.6596787968,53746.2201229737,25792.2006288038,59596.6791729667
"2023",42696.4645791608,31142.0587037028,54250.8704546189,25025.525705131,60367.4034531906
"2024",42698.3415834496,30666.8255297922,54729.8576371069,24297.7256592961,61098.9575076031
"2025",42700.081684651,30213.7073100358,55186.4560592663,23603.8199892975,61796.3433800046
