"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"2013",42663,39109.1149899307,46216.8850100693,37227.8019071535,48098.1980928465
"2014",42663,37637.0476196456,47688.9523803544,34976.469142912,50349.530857088
"2015",42663,36507.4905983026,48818.5094016974,33248.9607539883,52077.0392460117
"2016",42663,35555.2299798615,49770.7700201385,31792.6038143069,53533.3961856931
"2017",42663,34716.2715332676,50609.7284667324,30509.5275932179,54816.4724067821
"2018",42663,33957.7951208045,51368.2048791955,29349.5380215777,55976.4619784223
"2019",42663,33260.3040752365,52065.6959247635,28282.8175199555,57043.1824800445
"2020",42663,32611.0952392912,52714.9047607088,27289.9382858241,58036.0617141759
"2021",42663,32001.3449697922,53324.6550302078,26357.4057214604,58968.5942785396
"2022",42663,31424.6288258507,53901.3711741493,25475.3944924016,59850.6055075984
"2023",42663,30876.0968735318,54449.9031264682,24636.4872647728,60689.5127352272
"2024",42663,30351.9811966052,54974.0188033948,23834.9215079767,61491.0784920233
"2025",42663,29849.2853690924,55476.7146309076,23066.1145839377,62259.8854160623
