"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"2013",42426.1587931832,38847.0069802673,46005.3106060991,36952.3184600123,47899.9991263541
"2014",42426.1587931832,37552.363142008,47299.9544443583,34972.3315722302,49879.9860141362
"2015",42426.1587931832,36535.7054660674,48316.6121202989,33417.4878320152,51434.8297543511
"2016",42426.1587931832,35670.3467214598,49181.9708649066,32094.0358393386,52758.2817470278
"2017",42426.1587931832,34903.8883182561,49948.4292681102,30921.8388662977,53930.4787200686
"2018",42426.1587931832,34208.609922171,50643.7076641954,29858.5023200413,54993.815266325
"2019",42426.1587931832,33567.735355743,51284.5822306233,28878.3692512071,55973.9483351592
"2020",42426.1587931832,32970.196539319,51882.1210470473,27964.5124926942,56887.8050936722
"2021",42426.1587931832,32408.2359298338,52444.0816565326,27105.0679061994,57747.249680167
"2022",42426.1587931832,31876.166620412,52976.1509659544,26291.3381181961,58560.9794681702
"2023",42426.1587931832,31369.6724075791,53482.6451787873,25516.7220651085,59335.5955212578
"2024",42426.1587931832,30885.385528598,53966.9320577683,24776.0691982964,60076.24838807
"2025",42426.1587931832,30420.6182433338,54431.6993430326,24065.2689739423,60787.048612424
