year,actual,predicted,error,absolute_error,percentage_error,absolute_percentage_error,Zodiac
2013,39720,44278.08664657365,-4558.086646573647,4558.086646573647,-11.475545434475446,11.475545434475446,Snake
2014,42232,45581.18768327665,-3349.18768327665,3349.18768327665,-7.930450093002108,7.930450093002108,Horse
2015,42185,46535.16484489185,-4350.1648448918495,4350.1648448918495,-10.312112942732842,10.312112942732842,Goat
2016,41251,47132.16559062655,-5881.165590626551,5881.165590626551,-14.25702550393094,14.25702550393094,Monkey
2017,39615,47393.33520664851,-7778.3352066485095,7778.3352066485095,-19.634823189823322,19.634823189823322,Rooster
2018,39039,47537.9187419822,-8498.918741982197,8498.918741982197,-21.770329009406485,21.770329009406485,Dog
2019,39279,47693.6358021269,-8414.635802126897,8414.635802126897,-21.42273429091091,21.42273429091091,Pig
2020,38590,48088.58588121933,-9498.585881219333,9498.585881219333,-24.61411215656733,24.61411215656733,Rat
2021,38672,48105.39509818513,-9433.39509818513,9433.39509818513,-24.393346861256543,24.393346861256543,Ox
2022,35605,47603.23820077246,-11998.23820077246,11998.23820077246,-33.69818340337722,33.69818340337722,Tiger
2023,33541,46938.12191652985,-13397.121916529853,13397.121916529853,-39.94252382615263,39.94252382615263,Rabbit
2024,33703,46200.311875808045,-12497.311875808045,12497.311875808045,-37.08071054745288,37.08071054745288,Dragon
2025,30004,45466.019653471085,-15462.019653471085,15462.019653471085,-51.53319441898109,51.53319441898109,Snake
