year,actual,predicted,error,absolute_error,percentage_error,absolute_percentage_error,Zodiac
2013,39720,39070.52584558079,649.4741544192075,649.4741544192075,1.6351313051843088,1.6351313051843088,Snake
2014,42232,40205.9139637453,2026.0860362547028,2026.0860362547028,4.797513819508199,4.797513819508199,Horse
2015,42185,39168.689774087776,3016.3102259122243,3016.3102259122243,7.150196102672098,7.150196102672098,Goat
2016,41251,42175.93582706021,-924.9358270602097,924.9358270602097,-2.242214314950449,2.242214314950449,Monkey
2017,39615,43568.20346007038,-3953.2034600703773,3953.2034600703773,-9.979057074518181,9.979057074518181,Rooster
2018,39039,45021.53364750912,-5982.533647509117,5982.533647509117,-15.324505360047944,15.324505360047944,Dog
2019,39279,45315.024217789745,-6036.024217789745,6036.024217789745,-15.367051650474158,15.367051650474158,Pig
2020,38590,45797.095070623014,-7207.095070623014,7207.095070623014,-18.676069112783143,18.676069112783143,Rat
2021,38672,45812.0164320854,-7140.016432085402,7140.016432085402,-18.46301311565319,18.46301311565319,Ox
2022,35605,42944.13136233266,-7339.131362332657,7339.131362332657,-20.612642500583224,20.612642500583224,Tiger
2023,33541,44657.68143398829,-11116.681433988291,11116.681433988291,-33.143559923640595,33.143559923640595,Rabbit
2024,33703,50273.62066340719,-16570.620663407193,16570.620663407193,-49.16660434800224,49.16660434800224,Dragon
2025,30004,45610.54339772237,-15606.543397722373,15606.543397722373,-52.01487600894005,52.01487600894005,Snake
