Series,Model_Type,Model,Scale,Features,AIC,Ljung_Box_p_lag10,Ljung_Box_p_lag20,ACF_Spikes,PACF_Spikes,ACF_PACF_OK,Diagnostic_Status,Viable,RMSE,MAE,MAPE,AIC_Note,Removed_Lags,Ljung_Box_p_lag12,MSE
TFR,ETS,"ETS(A,Ad,N)",original,-,5.1183,0.381,0.0376,2,2,No,Mixed / fails strict white-noise check,No,0.1638,0.1359,13.3138,Comparable only with original-scale time-series models,NA,NA,NA
TFR,ARIMA,"log-ARIMA(1,1,1)",log,-,-127.7865,0.6459,0.0389,2,3,No,Mixed / fails strict white-noise check,No,0.1818,0.1539,15.0096,Log-scale AIC; do not compare directly with original-scale AIC,NA,NA,NA
TFR,ML,Linear regression with backward lag elimination + Zodiac,original,"lag1, lag2, Zodiac",NA,NA,NA,0,0,Yes,Passes ML training residual white-noise check,Comparison only,0.2545,0.2137,20.6931,N/A for ML models,"lag6, lag8, lag7, lag10, lag9, lag12, lag3, lag4, lag11, lag5",0.6485,0.0648
TFR,ARIMA,"ARIMA(0,2,1)",original,-,-49.618,0.3123,0.0393,1,2,No,Mixed / fails strict white-noise check,No,0.255,0.2202,21.3683,Comparable only with original-scale time-series models,NA,NA,NA
TFR,ARIMA,"ARIMA(1,1,1)",original,-,-48.896,0.4518,0.0565,1,3,No,Mixed / fails strict white-noise check,No,0.2638,0.2287,22.1702,Comparable only with original-scale time-series models,NA,NA,NA
TFR,ML,Linear regression with backward lag elimination,original,"lag1, lag11, lag12",NA,NA,NA,2,1,No,Fails ML training residual white-noise check,Comparison only,0.2925,0.2656,25.4185,N/A for ML models,"lag7, lag5, lag9, lag2, lag4, lag6, lag10, lag3, lag8",0.0541,0.0856
TLB,ARIMA,"log-ARIMA(1,1,1)",log,-,-137.305,0.6747,0.0302,2,2,No,Mixed / fails strict white-noise check,No,5612.2007,4356.4854,12.549,Log-scale AIC; do not compare directly with original-scale AIC,NA,NA,NA
TLB,ETS,"ETS(A,N,N)",original,-,1055.4766,0.765,0.0362,2,2,No,Mixed / fails strict white-noise check,No,5702.6837,4469.5434,12.8507,Comparable only with original-scale time-series models,NA,NA,NA
TLB,ARIMA,"ARIMA(0,1,0)",original,-,974.0525,0.7024,0.0197,3,3,No,Mixed / fails strict white-noise check,No,5890.1477,4706.3846,13.4807,Comparable only with original-scale time-series models,NA,NA,NA
TLB,ARIMA,"ARIMA(1,1,1)",original,-,978.0309,0.7103,0.0208,3,3,No,Mixed / fails strict white-noise check,No,5913.676,4729.328,13.544,Comparable only with original-scale time-series models,NA,NA,NA
TLB,ML,Linear regression with backward lag elimination + Zodiac,original,"lag1, lag4, lag5, lag8, Zodiac",NA,NA,NA,0,0,Yes,Passes ML training residual white-noise check,Comparison only,8324.4208,6736.0505,19.121,N/A for ML models,"lag6, lag2, lag3, lag7, lag11, lag12, lag9, lag10",0.6362,69295981.9251
TLB,ML,Linear regression with backward lag elimination,original,"lag1, lag10",NA,NA,NA,1,1,No,Fails ML training residual white-noise check,Comparison only,9555.3247,8855.1667,24.4665,N/A for ML models,"lag5, lag9, lag7, lag8, lag3, lag4, lag6, lag11, lag2, lag12",0.0618,91304230.5558
