"p","d","q","AIC","LB_pvalue"
2,0,1,13.4451389127174,0.643115137898326
1,1,1,-48.8959727149218,0.0295668458675733
2,1,1,-47.2358776749303,0.0221726660244861
1,1,2,-47.3394539556641,0.0219601968708554
3,1,1,-45.7952259963118,0.0153627897679888
0,1,4,-39.1495625426508,0.014874211861073
4,1,3,-41.6760574265007,0.0141214166360004
2,1,2,-45.6263641849315,0.0140179638865999
1,1,3,-45.9653251904033,0.0123215081909772
0,1,5,-37.7247669905079,0.0109472126558384
3,1,0,-44.0746792739521,0.0104487086853503
4,1,1,-43.8022939646498,0.0099634116461601
1,1,4,-47.0240744705165,0.00983540441582709
4,1,0,-42.3917312540098,0.00978120029599183
3,1,2,-43.8087584958584,0.00956614369522824
3,1,3,-45.2368449445787,0.00945649565216244
3,0,4,-31.2469460681144,0.00931741943235231
0,1,2,-37.4756582454327,0.00858176009362455
1,1,5,-35.7776888338107,0.00847994101950866
2,1,0,-42.8497985371847,0.00841575668387173
1,0,0,-19.9929361102515,0.00794615829110967
2,0,4,-38.7720775548925,0.00754322408375274
1,1,0,-42.7313032545644,0.00729275443573185
5,0,3,-34.6762237748736,0.00618944067976956
0,1,1,-37.5988213174865,0.0061113471106774
5,0,4,-44.1793239216646,0.00595027928931968
3,0,2,-38.9366105917773,0.00557154660740555
0,1,3,-39.2078526844669,0.005308952253265
1,0,1,-29.3055180644147,0.00489960637729381
2,1,3,-45.3951996126208,0.0046699394136267
4,0,4,-39.1027147356202,0.00439088644995811
1,0,4,-30.998810869256,0.00435250011667387
1,0,2,-29.1989886827438,0.00404837084007481
5,1,2,-42.715475440597,0.00344361682420158
5,0,1,-36.4213406114414,0.00305392575979591
1,0,5,-29.5117293718201,0.00263444069933849
3,0,5,-45.5945395149607,0.00261536982899702
2,0,5,-37.7107994865196,0.00245585602358822
5,0,0,-34.5903595346431,0.00234277274588623
4,1,2,-51.7977689270887,0.00215380069295268
5,1,4,-52.9481429541437,0.00214573984039435
4,0,0,-36.1958208605612,0.00213972458678124
3,1,4,-44.8514684874655,0.00202984121550731
5,1,0,-41.0463205196859,0.00186210264666209
1,0,3,-30.9604175621433,0.00155028253227341
0,0,5,12.089004091777,0.00140582312364379
3,0,0,-34.7639015615224,0.00138716253332483
5,0,2,-37.6327778714502,0.00135543939311167
2,0,0,-34.5445292016772,0.00134760916579491
5,1,1,-43.4191216011949,0.00129902833301354
5,1,5,-49.3598609826588,0.00129404532803568
5,1,3,-43.8920506645636,0.00126058576929444
3,1,5,-42.851978559686,0.00117119169204516
4,1,4,-42.85159570904,0.00116256901608158
2,1,4,-52.1662563144988,0.00101099694719964
2,1,5,-52.1712744080138,0.000820817801082008
4,0,1,-33.7420129752329,0.000760816664937547
4,0,5,-34.2300067261173,0.000647392373981592
4,0,3,-32.3206293763247,0.000515105905647295
3,0,1,-33.1169094326697,0.000429274703939497
0,1,0,-28.3176932249149,0.000378946351450082
5,0,5,-32.6927605537325,0.000304113179571908
4,0,2,-34.5942904502867,0.000286171339486607
3,0,3,-34.1199378411692,0.000148950022894834
4,1,5,-48.4333623845563,0.000124425943670237
2,0,3,-31.4785285219304,5.75973795324813e-05
2,0,2,-30.7773475039719,5.7263466002544e-05
0,0,4,24.4255821000428,7.86523350781998e-06
0,0,3,52.5982370200442,1.77817074398234e-08
0,0,2,73.4610487273905,1.99396055222678e-13
0,0,1,121.813976838437,0
0,0,0,179.167667609693,0
