"p","d","q","AIC","LB_pvalue"
4,1,4,977.185885145015,0.0889687195044121
2,1,2,974.463117116218,0.0378970478526957
3,1,0,978.710526971608,0.037754925062353
2,1,1,979.196152844135,0.0276755981241313
0,1,3,979.071360937256,0.0272298944951065
0,1,1,975.785694470697,0.0258350538721913
2,1,0,977.677303213314,0.0252805483538591
1,1,5,977.679418546963,0.0246163285059119
1,1,0,975.805786769339,0.0240027705298637
2,1,4,979.31226628724,0.0238127858487424
3,1,1,980.566572935853,0.0235928320525167
4,1,0,980.421128881271,0.0215475904888416
0,1,2,977.741767151082,0.020749590922715
1,1,2,979.391203403924,0.0205582098325583
0,1,0,974.052526674873,0.019730540089877
3,0,2,998.294737163993,0.0188148564760763
0,0,5,1006.43509225319,0.0181097835160959
1,1,3,980.913866804159,0.0178035035620046
5,1,0,982.369223952577,0.0172920011017655
0,1,4,980.687377330502,0.0172298349476433
4,1,2,977.231589523479,0.0157735525541914
2,1,5,981.301861239894,0.0155515955198604
0,0,4,1006.62159401547,0.0149923753260307
0,1,5,982.569579011878,0.0137344057146642
3,1,2,975.740341745972,0.0132145486672812
2,1,3,975.606591252954,0.012764437204972
1,0,0,997.534889112745,0.0122222109013311
1,1,4,982.673019177683,0.0116267933871667
3,1,3,978.195064121194,0.0115971358658876
4,0,0,1001.81231685089,0.0113428008930294
1,0,1,999.48360479563,0.0110834854006957
2,0,0,999.484446538515,0.0109459244252295
2,0,4,1000.53769418314,0.0109163892975943
5,0,2,1001.10738098641,0.0108112343877202
2,0,5,1001.21447329707,0.0107737089590811
4,1,3,979.231522903334,0.0100375263825454
1,1,1,978.030888416674,0.00979876825524884
3,0,1,1003.06648726707,0.009741269896965
1,0,3,1002.31062558327,0.00875938284033462
4,1,5,978.078980108086,0.00869152921270933
3,0,0,1001.47370853055,0.00840920258784861
1,0,2,1001.48348539454,0.00739243060882255
2,0,2,1003.19796193815,0.00717652636235744
5,1,1,984.056865613906,0.0068940547316424
4,0,1,1003.77842833939,0.00661019729842494
5,0,0,1003.77199195732,0.00659095807615717
5,1,3,981.226052346316,0.00657283638132267
3,0,5,1003.11956321393,0.00647796189485816
4,0,2,1004.10993106759,0.00622661201407282
5,0,4,1000.59546126776,0.00618018678805343
3,1,5,981.34011495517,0.00616870911051637
4,0,5,1001.70719755085,0.00602726901606421
3,1,4,979.591742879144,0.00528661848085343
5,1,2,984.615046343033,0.00513197135743204
2,0,1,1001.48193551014,0.00508710247618149
2,0,3,1004.2093426852,0.00502152616925766
3,0,3,998.897451702748,0.00492177808104255
1,0,4,1004.12415950794,0.00481170557479238
5,0,1,1005.77258274878,0.0041218247092295
5,1,4,977.371244696858,0.00384916850343553
5,1,5,981.710803173585,0.00320964753912056
3,0,4,1000.89455083252,0.00314606677622076
1,0,5,1006.09331550492,0.00305479141481491
4,0,3,1001.11972385262,0.00295416675676985
5,0,3,1002.85152238399,0.00229393911737585
4,0,4,1002.89155984337,0.00190576455995994
5,0,5,1003.15943258702,0.000506591988044591
0,0,3,1018.125696673,0.000458460450954212
0,0,2,1029.12357905307,2.62079024713202e-05
0,0,1,1044.51871278906,1.25899290992493e-13
0,0,0,1084.91714487496,0
