"model_name","p","d","q","parameter_count","AIC","LjungBox_p","RMSE","MAE","has_warning","warning_text"
"tlb_m86_ARIMA_13_2_4",13,2,4,17,961.134297352856,0.0524477355339362,3541.0040881361,2648.34499480163,FALSE,""
"tlb_m73_ARIMA_11_2_3",11,2,3,14,966.129475769429,0.0132431375018983,3712.06768690987,2837.53243989787,FALSE,""
"tlb_m72_ARIMA_11_2_2",11,2,2,13,964.425876558918,0.010299453705636,3819.16023402941,3001.36637789422,FALSE,""
"tlb_m56_ARIMA_8_2_3",8,2,3,11,974.427813938013,0.000414417959214264,4750.48543892464,3596.44688896523,FALSE,""
"tlb_m64_ARIMA_9_2_5",9,2,5,14,966.299019435919,0.0149524867855655,5003.74535668571,4027.26695916387,FALSE,""
"tlb_m24_ARIMA_12_1_0",12,1,0,12,982.229009332009,0.00634312077849852,5348.54946374765,4005.63549813633,FALSE,""
"tlb_m26_ARIMA_12_1_2",12,1,2,14,980.579802894404,0.0221314393549445,5506.0501760582,4265.47170831024,FALSE,""
"tlb_m25_ARIMA_12_1_1",12,1,1,13,978.62942332426,0.0379574297916736,5590.22980879185,4352.9665123543,FALSE,""
"tlb_m104_ARIMA_18_2_0",18,2,0,18,960.549731446239,0.0296240447943851,5699.11712458029,4609.32723912477,FALSE,""
"tlb_m101_ARIMA_17_2_0",17,2,0,17,958.982825722281,0.0753243350323741,5807.62915973844,4652.75951513686,FALSE,""
"tlb_m20_ARIMA_11_1_2",11,1,2,13,978.774498174167,0.0229757176698824,5834.4355650376,4621.33588203935,FALSE,""
"tlb_m99_ARIMA_16_2_2",16,2,2,18,958.633386991545,0.0353391757153472,6092.23921008551,5003.30928331646,FALSE,""
"tlb_m62_ARIMA_9_2_3",9,2,3,12,968.540689527476,0.00833144019140741,6109.31940428569,4970.91905326994,FALSE,""
"tlb_m97_ARIMA_16_2_0",16,2,0,16,957.890330314931,0.102353007748554,6214.31391042295,4943.15604933106,FALSE,""
"tlb_m70_ARIMA_11_2_0",11,2,0,11,965.636774507395,0.0178305063245072,6309.39043483176,4695.30977234294,FALSE,""
"tlb_m100_ARIMA_16_2_3",16,2,3,19,960.700931621409,0.0096065699069271,6380.90744824916,5261.31491780879,TRUE,"possible convergence problem: optim gave code = 1"
"tlb_m38_ARIMA_14_1_3",14,1,3,17,972.565677399027,0.0731698744526359,6391.32828378102,5107.87070890498,FALSE,""
"tlb_m93_ARIMA_15_2_1",15,2,1,16,956.451946110516,0.130085255263,6407.22778482209,5278.17687328944,FALSE,""
"tlb_m5_ARIMA_8_1_4",8,1,4,12,985.175928784814,0.000510426645243367,6440.68664904729,5182.99862380358,TRUE,"NaNs produced | NaNs produced"
"tlb_m96_ARIMA_15_2_4",15,2,4,19,960.439536052706,0.00913001166767158,6460.7605438078,5267.74384269021,TRUE,"possible convergence problem: optim gave code = 1"
"tlb_m92_ARIMA_15_2_0",15,2,0,15,956.79491568861,0.165672767876871,6689.66336170384,5265.38235235474,FALSE,""
"tlb_m63_ARIMA_9_2_4",9,2,4,13,970.27535300177,0.00547943267341899,6702.14408041063,5467.12716764526,FALSE,""
"tlb_m79_ARIMA_12_2_3",12,2,3,15,958.467628047894,0.108299408895531,6777.57326610847,5312.81684537145,FALSE,""
"tlb_m11_ARIMA_9_1_4",9,1,4,13,978.825934911674,0.0416991963004772,6812.7454329914,5630.06501066235,TRUE,"NaNs produced"
"tlb_m74_ARIMA_11_2_4",11,2,4,15,962.029070638457,0.0170105963013872,6818.81606881757,5235.98945096367,TRUE,"possible convergence problem: optim gave code = 1"
"tlb_m1_ARIMA_8_1_0",8,1,0,8,986.5544503643,0.00359706621927169,6826.79129954895,5558.6698673393,FALSE,""
"tlb_m95_ARIMA_15_2_3",15,2,3,18,959.960285162414,0.0352110918667342,6850.5208578212,5660.007141569,FALSE,""
"tlb_m15_ARIMA_10_1_2",10,1,2,12,984.372584001744,0.00549329345452121,6861.40887524263,5923.63855228764,FALSE,""
"tlb_m2_ARIMA_8_1_1",8,1,1,9,988.296853334151,0.00238365149282249,6998.03232548753,5677.21828182428,FALSE,""
"tlb_m23_ARIMA_11_1_5",11,1,5,16,978.286799149971,0.0195636939294292,7013.61861909612,5596.78838599138,FALSE,""
"tlb_m105_ARIMA_18_2_1",18,2,1,19,961.742351113762,0.0068005987777231,7048.00624464342,5795.65808516744,FALSE,""
"tlb_m27_ARIMA_12_1_4",12,1,4,16,979.813717659409,0.0045117487602141,7118.64837923322,5742.95101383936,FALSE,""
"tlb_m9_ARIMA_9_1_2",9,1,2,11,981.48557493335,0.0150451227392525,7138.05936345993,5840.84387038462,FALSE,""
"tlb_m10_ARIMA_9_1_3",9,1,3,12,983.311461451502,0.00916056125898412,7258.56634935197,5925.06424867458,TRUE,"NaNs produced | NaNs produced"
"tlb_m7_ARIMA_9_1_0",9,1,0,9,987.426624892858,0.00270642582019276,7349.2044634234,5966.34276531906,FALSE,""
"tlb_m94_ARIMA_15_2_2",15,2,2,17,957.93639386118,0.0699190600594983,7368.69555815613,6107.97654194761,FALSE,""
"tlb_m8_ARIMA_9_1_1",9,1,1,10,989.359342765135,0.001496174008076,7376.00579943023,6007.80173378671,FALSE,""
"tlb_m28_ARIMA_12_1_5",12,1,5,17,980.180797490651,0.00615841769765246,7394.6456768569,5993.58603236318,TRUE,"possible convergence problem: optim gave code = 1"
"tlb_m102_ARIMA_17_2_1",17,2,1,18,959.785751798687,0.0230696037239129,7412.0814470561,6107.61505373425,FALSE,""
