"type","model_name","model","AIC","LjungBox_p","RMSE","MAE"
"Seasonal ARIMA","tlb_s236_SARIMA_0_2_1_0_0_2_12","SARIMA(0,2,1)(0,0,2)[12]",955.435104092538,0.0744608820778851,2363.72742393571,2054.2843073341
"Seasonal ARIMA","tlb_s246_SARIMA_0_2_1_2_0_0_12","SARIMA(0,2,1)(2,0,0)[12]",954.611806885862,0.0749680240631172,2644.45574068289,2200.20215558456
"Seasonal ARIMA","tlb_s55_SARIMA_0_1_3_0_0_2_12","SARIMA(0,1,3)(0,0,2)[12]",970.649745212852,0.274936666952578,2715.04825148515,2267.84919631814
"Seasonal ARIMA","tlb_s122_SARIMA_1_1_3_0_0_2_12","SARIMA(1,1,3)(0,0,2)[12]",972.303051530824,0.194519668297804,2732.68329378856,2298.12577466657
"Seasonal ARIMA","tlb_s200_SARIMA_3_1_1_0_0_2_12","SARIMA(3,1,1)(0,0,2)[12]",973.619043359534,0.0767969098269414,2804.52017111422,2278.22630715747
"Non-seasonal ARIMA","tlb_m86_ARIMA_13_2_4","ARIMA(13,2,4)",961.134297352856,0.0524477355339362,3541.0040881361,2648.34499480163
"Non-seasonal ARIMA","tlb_m101_ARIMA_17_2_0","ARIMA(17,2,0)",958.982825722281,0.0753243350323741,5807.62915973844,4652.75951513686
"Non-seasonal ARIMA","tlb_m97_ARIMA_16_2_0","ARIMA(16,2,0)",957.890330314931,0.102353007748554,6214.31391042295,4943.15604933106
"Non-seasonal ARIMA","tlb_m38_ARIMA_14_1_3","ARIMA(14,1,3)",972.565677399027,0.0731698744526359,6391.32828378102,5107.87070890498
"Non-seasonal ARIMA","tlb_m93_ARIMA_15_2_1","ARIMA(15,2,1)",956.451946110516,0.130085255263,6407.22778482209,5278.17687328944
