"type","model_name","model","AIC","LjungBox_p","RMSE","MAE"
"SARIMA","tlb_sarima_corrected_92_3_1_0_0_1_1_12","SARIMA(3,1,0)(0,1,1)[12]",751.815689878319,0.101870799308794,3100.20785007199,2802.49343015225
"SARIMA","tlb_sarima_corrected_1_0_1_0_0_1_1_12","SARIMA(0,1,0)(0,1,1)[12]",748.178341049711,0.152375743980649,3194.18488138732,2899.58664906338
"SARIMA","tlb_sarima_corrected_4_0_1_0_1_1_1_12","SARIMA(0,1,0)(1,1,1)[12]",750.177580043629,0.116909901107334,3210.15763351258,2914.73190327335
"SARIMA","tlb_sarima_corrected_2_0_1_0_0_1_2_12","SARIMA(0,1,0)(0,1,2)[12]",750.177081212497,0.11610226287065,3220.63794574469,2924.64115219637
"SARIMA","tlb_sarima_corrected_44_1_1_1_0_1_1_12","SARIMA(1,1,1)(0,1,1)[12]",750.232736135915,0.121244834404485,3236.74414029045,2945.06569790581
"Non-seasonal ARIMA","tlb_m86_ARIMA_13_2_4","ARIMA(13,2,4)",961.134297352856,0.0524477355339362,3541.0040881361,2648.34499480163
"Non-seasonal ARIMA","tlb_m101_ARIMA_17_2_0","ARIMA(17,2,0)",958.982825722281,0.0753243350323741,5807.62915973844,4652.75951513686
"Non-seasonal ARIMA","tlb_m97_ARIMA_16_2_0","ARIMA(16,2,0)",957.890330314931,0.102353007748554,6214.31391042295,4943.15604933106
"Non-seasonal ARIMA","tlb_m38_ARIMA_14_1_3","ARIMA(14,1,3)",972.565677399027,0.0731698744526359,6391.32828378102,5107.87070890498
"Non-seasonal ARIMA","tlb_m93_ARIMA_15_2_1","ARIMA(15,2,1)",956.451946110516,0.130085255263,6407.22778482209,5278.17687328944
