"p","d","q","AIC","LjungBox_p","RMSE"
12,1,0,982.229009332009,0.00634312077849852,5348.54946374765
12,1,2,980.579802894404,0.0221314393549445,5506.0501760582
12,1,1,978.62942332426,0.0379574297916736,5590.22980879185
11,1,2,978.774498174167,0.0229757176698824,5834.4355650376
14,1,3,972.565677399027,0.0731698744526359,6391.32828378102
8,1,4,985.175928784814,0.000510426645243367,6440.68664904729
9,1,4,978.825934911674,0.0416991963004772,6812.7454329914
8,1,0,986.5544503643,0.00359706621927169,6826.79129954895
10,1,2,984.372584001744,0.00549329345452121,6861.40887524263
8,1,1,988.296853334151,0.00238365149282249,6998.03232548753
11,1,5,978.286799149971,0.0195636939294292,7013.61861909612
17,1,5,977.833083459363,NA,7048.18780320272
16,1,5,975.921655158608,NA,7110.75267499671
12,1,4,979.813717659409,0.0045117487602141,7118.64837923322
9,1,2,981.48557493335,0.0150451227392525,7138.05936345993
9,1,3,983.311461451502,0.00916056125898412,7258.56634935197
9,1,0,987.426624892858,0.00270642582019276,7349.2044634234
9,1,1,989.359342765135,0.001496174008076,7376.00579943023
12,1,5,980.180797490651,0.00615841769765246,7394.6456768569
10,1,0,989.045693493319,0.00138049125321416,7444.44213618756
18,1,5,978.919507124875,NA,7502.0150816631
8,1,2,982.480431958343,0.00610149781456271,7516.73779165315
13,1,0,976.610283763134,0.03842662109382,7579.29792784296
14,1,2,973.209227835681,0.0170391000779412,7707.76821993506
16,1,4,976.734356049804,0,8075.46090163452
13,1,5,971.193380055377,0.0140171384839255,8077.86961741689
14,1,5,971.299077153577,0.0119519230683539,8090.41759961372
17,1,2,974.698644747453,0.0136734955494534,8211.60797426182
11,1,4,978.715510263148,0.00267014783608377,8264.44125384205
13,1,2,973.01239217205,0.123556721077752,8336.52141087528
11,1,0,985.773601500505,0.000434807730987696,8398.67359363007
13,1,4,971.751464903012,0.0481069165978122,8500.54121190067
15,1,3,972.767112520072,0.0553225060394743,8532.24891662075
16,1,2,974.157045414242,0.0410595913439438,8565.30324233671
18,1,1,976.160436507914,0.0114245705794001,8682.68735956049
18,1,0,974.160465524441,0.0407964071684443,8686.68121501941
15,1,4,974.757014332335,0.0155575820660687,8748.58324423527
16,1,1,972.200490307354,0.0892555873439866,8815.9746723944
8,1,5,981.273094537769,0.000218151300031888,8818.09293568569
17,1,0,972.208181260134,0.0886422417802698,8865.529728974
13,1,3,973.226625542315,0.0496994821416734,8901.24542571604
8,1,3,983.287343876506,0.000584817816894789,8945.58785243344
16,1,0,970.232142286452,0.161583930498288,8961.74957166126
10,1,3,984.151640925884,0.00193668239083644,8974.94859553484
15,1,5,973.082808276367,0,9071.48847796122
14,1,0,975.327188009413,0.037772222056152,9112.09443913978
9,1,5,982.33795950165,0.000173657389553772,9217.30141516818
17,1,4,977.004778047148,NA,9264.54440881617
11,1,3,979.985990382252,0.00305961251448683,9302.70678123408
14,1,4,973.152716748209,0.0514566873828184,9367.25343045317
15,1,2,972.565435611568,0.0639555671630966,9469.17639011593
18,1,4,978.354845475063,NA,9597.83221486363
18,1,3,976.385192347442,NA,9678.69612535519
10,1,4,981.169509119071,0.00160935571252974,9740.83429400459
10,1,5,983.060415093497,0.000844093608523111,9765.42609958605
15,1,1,971.05992544517,0.126247133708637,9821.88235413599
13,1,1,974.565148255237,0.0557594284213813,10028.0343316051
14,1,1,975.623899141975,0.0387469838942811,10143.0117280505
15,1,0,971.673196687955,0.0743770769162401,10631.9599340029
10,1,1,987.883232596953,0.000371074983439801,10678.8909580119
