"model_name","model","p","d","q","P","D","Q","period","parameter_count","AIC","LjungBox_p","RMSE","MAE","has_warning","warning_text"
"tlb_s236_SARIMA_0_2_1_0_0_2_12","SARIMA(0,2,1)(0,0,2)[12]",0,2,1,0,0,2,12,3,955.435104092538,0.0744608820778851,2363.72742393571,2054.2843073341,FALSE,""
"tlb_s246_SARIMA_0_2_1_2_0_0_12","SARIMA(0,2,1)(2,0,0)[12]",0,2,1,2,0,0,12,3,954.611806885862,0.0749680240631172,2644.45574068289,2200.20215558456,FALSE,""
"tlb_s55_SARIMA_0_1_3_0_0_2_12","SARIMA(0,1,3)(0,0,2)[12]",0,1,3,0,0,2,12,5,970.649745212852,0.274936666952578,2715.04825148515,2267.84919631814,FALSE,""
"tlb_s122_SARIMA_1_1_3_0_0_2_12","SARIMA(1,1,3)(0,0,2)[12]",1,1,3,0,0,2,12,6,972.303051530824,0.194519668297804,2732.68329378856,2298.12577466657,FALSE,""
"tlb_s416_SARIMA_3_2_1_0_0_2_12","SARIMA(3,2,1)(0,0,2)[12]",3,2,1,0,0,2,12,6,959.096897934739,0.0388190099219689,2759.07329629745,2312.57814770508,FALSE,""
"tlb_s200_SARIMA_3_1_1_0_0_2_12","SARIMA(3,1,1)(0,0,2)[12]",3,1,1,0,0,2,12,6,973.619043359534,0.0767969098269414,2804.52017111422,2278.22630715747,FALSE,""
"tlb_s332_SARIMA_1_2_2_2_0_0_12","SARIMA(1,2,2)(2,0,0)[12]",1,2,2,2,0,0,12,5,957.291745089994,0.0815313161226769,2808.03141816804,2435.1695839354,FALSE,""
"tlb_s343_SARIMA_1_2_3_1_0_1_12","SARIMA(1,2,3)(1,0,1)[12]",1,2,3,1,0,1,12,6,958.772439163556,0.074853782159807,2838.59936354764,2461.00024944493,FALSE,""
"tlb_s264_SARIMA_0_2_2_2_0_0_12","SARIMA(0,2,2)(2,0,0)[12]",0,2,2,2,0,0,12,4,955.538540088411,0.10119193861454,2850.33116897917,2448.01036917028,FALSE,""
"tlb_s346_SARIMA_1_2_3_2_0_0_12","SARIMA(1,2,3)(2,0,0)[12]",1,2,3,2,0,0,12,6,959.175765684804,0.0644655215576003,2850.99811116603,2476.42350673541,FALSE,""
"tlb_s389_SARIMA_2_2_2_1_0_1_12","SARIMA(2,2,2)(1,0,1)[12]",2,2,2,1,0,1,12,6,958.763434770187,0.0765275617152067,2858.65074364509,2493.11692827472,FALSE,""
"tlb_s166_SARIMA_2_1_2_0_0_2_12","SARIMA(2,1,2)(0,0,2)[12]",2,1,2,0,0,2,12,6,974.898794103338,0.0780493510766685,2863.33187381996,2316.34951566603,FALSE,""
"tlb_s282_SARIMA_0_2_3_2_0_0_12","SARIMA(0,2,3)(2,0,0)[12]",0,2,3,2,0,0,12,5,957.396229487836,0.066879666147633,2863.3767230254,2426.73946963987,FALSE,""
"tlb_s259_SARIMA_0_2_2_1_0_1_12","SARIMA(0,2,2)(1,0,1)[12]",0,2,2,1,0,1,12,4,955.306312229654,0.105541222358892,2896.35043686968,2468.44254015647,FALSE,""
"tlb_s378_SARIMA_2_2_1_2_0_0_12","SARIMA(2,2,1)(2,0,0)[12]",2,2,1,2,0,0,12,5,957.112570301151,0.0686446228351208,2896.57164673099,2430.5293721282,FALSE,""
"tlb_s106_SARIMA_1_1_2_0_0_2_12","SARIMA(1,1,2)(0,0,2)[12]",1,1,2,0,0,2,12,5,973.108551463633,0.0954472713036539,2907.0575982972,2324.40607957719,FALSE,""
"tlb_s134_SARIMA_2_1_0_0_0_2_12","SARIMA(2,1,0)(0,0,2)[12]",2,1,0,0,0,2,12,4,971.275710393129,0.124348559597785,2912.14242752855,2333.11431096405,FALSE,""
"tlb_s71_SARIMA_1_1_0_0_0_2_12","SARIMA(1,1,0)(0,0,2)[12]",1,1,0,0,0,2,12,3,969.523347579155,0.158499159776218,2918.42505283442,2340.08900899154,FALSE,""
"tlb_s88_SARIMA_1_1_1_0_0_2_12","SARIMA(1,1,1)(0,0,2)[12]",1,1,1,0,0,2,12,4,971.243511731256,0.124639328902198,2922.6747917242,2328.4734865093,FALSE,""
"tlb_s148_SARIMA_2_1_0_2_1_2_12","SARIMA(2,1,0)(2,1,2)[12]",2,1,0,2,1,2,12,6,753.872289981167,0.0312720602715852,2930.75628451011,2549.06626710343,FALSE,""
"tlb_s6_SARIMA_0_1_0_1_0_1_12","SARIMA(0,1,0)(1,0,1)[12]",0,1,0,1,0,1,12,2,966.977815029603,0.182060016324805,2931.92130835932,2215.83066505753,FALSE,""
"tlb_s277_SARIMA_0_2_3_1_0_1_12","SARIMA(0,2,3)(1,0,1)[12]",0,2,3,1,0,1,12,5,957.222313147388,0.0727464623350553,2933.53879016115,2461.4057493717,FALSE,""
"tlb_s311_SARIMA_1_2_1_1_0_1_12","SARIMA(1,2,1)(1,0,1)[12]",1,2,1,1,0,1,12,4,955.214424410514,0.107289922000218,2949.52987987098,2497.33629147271,FALSE,""
"tlb_s37_SARIMA_0_1_2_0_0_2_12","SARIMA(0,1,2)(0,0,2)[12]",0,1,2,0,0,2,12,4,971.540058323905,0.109163068642569,2950.79963814334,2336.31627291179,FALSE,""
"tlb_s327_SARIMA_1_2_2_1_0_1_12","SARIMA(1,2,2)(1,0,1)[12]",1,2,2,1,0,1,12,5,956.891133284192,0.0642199624828971,2951.79596286698,2392.31447344337,FALSE,""
"tlb_s19_SARIMA_0_1_1_0_0_2_12","SARIMA(0,1,1)(0,0,2)[12]",0,1,1,0,0,2,12,3,969.710822257343,0.145742624324072,2957.09323556352,2335.73063692212,FALSE,""
"tlb_s184_SARIMA_3_1_0_0_0_2_12","SARIMA(3,1,0)(0,0,2)[12]",3,1,0,0,0,2,12,5,972.75846276924,0.0909042787516908,2960.84620259118,2297.37181127056,FALSE,""
"tlb_s322_SARIMA_1_2_2_0_0_2_12","SARIMA(1,2,2)(0,0,2)[12]",1,2,2,0,0,2,12,5,958.104732109048,0.0768933080745178,2964.40851568336,2523.62738897397,FALSE,""
"tlb_s333_SARIMA_1_2_2_2_0_1_12","SARIMA(1,2,2)(2,0,1)[12]",1,2,2,2,0,1,12,6,958.570975699381,0.0600559765413147,2970.44930076074,2636.50001269215,FALSE,""
"tlb_s283_SARIMA_0_2_3_2_0_1_12","SARIMA(0,2,3)(2,0,1)[12]",0,2,3,2,0,1,12,6,958.887238642641,0.0432013696691936,2978.89050223155,2605.51776106782,FALSE,""
"tlb_s265_SARIMA_0_2_2_2_0_1_12","SARIMA(0,2,2)(2,0,1)[12]",0,2,2,2,0,1,12,5,956.990241972043,0.0659097494499634,2981.71447305282,2632.11003864394,FALSE,""
"tlb_s379_SARIMA_2_2_1_2_0_1_12","SARIMA(2,2,1)(2,0,1)[12]",2,2,1,2,0,1,12,6,958.671716277855,0.0440533051983566,2999.49933641354,2588.84980640724,FALSE,""
"tlb_s316_SARIMA_1_2_1_2_0_1_12","SARIMA(1,2,1)(2,0,1)[12]",1,2,1,2,0,1,12,5,956.926577287334,0.0687763096167422,3009.67089622816,2632.8310373897,FALSE,""
"tlb_s272_SARIMA_0_2_3_0_0_2_12","SARIMA(0,2,3)(0,0,2)[12]",0,2,3,0,0,2,12,5,957.957883056025,0.0711848311322884,3032.05839004859,2584.41761403495,FALSE,""
"tlb_s12_SARIMA_0_1_0_2_0_1_12","SARIMA(0,1,0)(2,0,1)[12]",0,1,0,2,0,1,12,3,968.907062983513,0.114928767868099,3041.74051516669,2319.92855036344,FALSE,""
"tlb_s254_SARIMA_0_2_2_0_0_2_12","SARIMA(0,2,2)(0,0,2)[12]",0,2,2,0,0,2,12,4,956.147177860889,0.106936548004144,3044.8370206814,2599.6287988756,FALSE,""
"tlb_s278_SARIMA_0_2_3_1_0_2_12","SARIMA(0,2,3)(1,0,2)[12]",0,2,3,1,0,2,12,6,958.822334919534,0.0400116400089316,3046.28601395109,2651.39348664512,FALSE,""
"tlb_s260_SARIMA_0_2_2_1_0_2_12","SARIMA(0,2,2)(1,0,2)[12]",0,2,2,1,0,2,12,5,956.93397940549,0.0628684153733591,3047.81134835444,2683.50222864041,FALSE,""
"tlb_s171_SARIMA_2_1_2_1_0_1_12","SARIMA(2,1,2)(1,0,1)[12]",2,1,2,1,0,1,12,6,973.782760624002,0.104142650106895,3048.75087352348,2300.74591849329,FALSE,""
"tlb_s7_SARIMA_0_1_0_1_0_2_12","SARIMA(0,1,0)(1,0,2)[12]",0,1,0,1,0,2,12,3,968.883965971364,0.111003377387312,3051.28962998097,2334.08026360334,FALSE,""
"tlb_s240_SARIMA_0_2_1_1_0_0_12","SARIMA(0,2,1)(1,0,0)[12]",0,2,1,1,0,0,12,2,953.895309421488,0.0299381930351421,3051.70072016194,2563.33155747419,FALSE,""
